Сельскохозяйственное использование,"Ведение сельского хозяйства. Содержание данного вида разрешенного использования включает в себя содержание видов разрешенного использования с кодами 1.1 - 1.20, в том числе размещение зданий и сооружений, используемых для хранения и переработки сельскохозяйственной продукции",1.0
Растениеводство,"Осуществление хозяйственной деятельности, связанной с выращиванием сельскохозяйственных культур.
Содержание данного вида разрешенного использования включает в себя содержание видов разрешенного использования с кодами 1.2 - 1.6",1.1
Выращивание зерновых и иных сельскохозяйственных культур,"Осуществление хозяйственной деятельности на сельскохозяйственных угодьях, связанной с производством зерновых, бобовых, кормовых, технических, масличных, эфиромасличных и иных сельскохозяйственных культур",1.2
Овощеводство,"Осуществление хозяйственной деятельности на сельскохозяйственных угодьях, связанной с производством картофеля, листовых, плодовых, луковичных и бахчевых сельскохозяйственных культур, в том числе с использованием теплиц",1.3
"Выращивание тонизирующих, лекарственных, цветочных культур","Осуществление хозяйственной деятельности, в том числе на сельскохозяйственных угодьях, связанной с производством чая, лекарственных и цветочных культур",1.4
Садоводство,"Осуществление хозяйственной деятельности, в том числе на сельскохозяйственных угодьях, связанной с выращиванием многолетних плодовых и ягодных культур, винограда и иных многолетних культур",1.5
Виноградарство,Возделывание винограда на виноградопригодных землях,1.5.2001
Выращивание льна и конопли,"Осуществление хозяйственной деятельности, в том числе на сельскохозяйственных угодьях, связанной с выращиванием льна, конопли",1.6
Животноводство,"Осуществление хозяйственной деятельности, связанной с производством продукции животноводства, в том числе сенокошение, выпас сельскохозяйственных животных, разведение племенных животных, производство и использование племенной продукции (материала), размещение зданий, сооружений, используемых для содержания и разведения сельскохозяйственных животных, производства, хранения и первичной переработки сельскохозяйственной продукции. Содержание данного вида разрешенного использования включает в себя содержание видов разрешенного использования с кодами 1.8 - 1.11, 1.15, 1.19, 1.20",1.7
Скотоводство,"Осуществление хозяйственной деятельности, в том числе на сельскохозяйственных угодьях, связанной с разведением сельскохозяйственных животных (крупного рогатого скота, овец, коз, лошадей, верблюдов, оленей);
сенокошение, выпас сельскохозяйственных животных, производство кормов, размещение зданий, сооружений, используемых для содержания и разведения сельскохозяйственных животных;
разведение племенных животных, производство и использование племенной продукции (материала)",1.8
Звероводство,"Осуществление хозяйственной деятельности, связанной с разведением в неволе ценных пушных зверей;
размещение зданий, сооружений, используемых для содержания и разведения животных, производства, хранения и первичной переработки продукции;
разведение племенных животных, производство и использование племенной продукции (материала)",1.9
Птицеводство,"Осуществление хозяйственной деятельности, связанной с разведением домашних пород птиц, в том числе водоплавающих;
размещение зданий, сооружений, используемых для содержания и разведения животных, производства, хранения и первичной переработки продукции птицеводства;
разведение племенных животных,
производство и использование племенной продукции (материала)",1.10
Свиноводство,"Осуществление хозяйственной деятельности, связанной с разведением свиней;
размещение зданий, сооружений, используемых для содержания и разведения животных, производства, хранения и первичной переработки продукции;
разведение племенных животных, производство и использование племенной продукции (материала)",1.11
Пчеловодство,"Осуществление хозяйственной деятельности, в том числе на сельскохозяйственных угодьях, по разведению, содержанию и использованию пчел и иных полезных насекомых;
размещение ульев, иных объектов и оборудования, необходимого для пчеловодства и разведениях иных полезных насекомых;
размещение сооружений, используемых для хранения и первичной переработки продукции пчеловодства",1.12
Рыбоводство,"Осуществление хозяйственной деятельности, связанной с разведением и (или) содержанием, выращиванием объектов рыбоводства (аквакультуры); размещение зданий, сооружений, оборудования, необходимых для осуществления рыбоводства (аквакультуры)",1.13
Научное обеспечение сельского хозяйства,"Осуществление научной и селекционной работы, ведения сельского хозяйства для получения ценных с научной точки зрения образцов растительного и животного мира;
размещение коллекций генетических ресурсов растений",1.14
Хранение и переработка сельскохозяйственной продукции,"Размещение зданий, сооружений, используемых для производства, хранения, первичной и глубокой переработки сельскохозяйственной продукции",1.15
Ведение личного подсобного хозяйства на полевых участках,Производство сельскохозяйственной продукции без права возведения объектов капитального строительства,1.16
